Category,Tea type,Flavour,Size,Kilojules,Contains sugar,Limited edition
Frozen,,Mango,L,1280,1,0
Frozen,,Matcha Red Bean,R,1515,1,0
Frozen,,Matcha Red Bean,L,1841,1,0
Frozen,,Passionfruit,R,1005,1,0
Frozen,,Passionfruit,L,1373,1,0
Frozen,,Strawberry,R,1020,1,0
Frozen,,Strawberry,L,1234,1,0
Sparkling,,Mango Passionfruit,R,546,1,0
Sparkling,,Mango Passionfruit,L,670,1,0
Sparkling,,Strawberry Guava,R,494,1,0
Sparkling,,Strawberry Guava,L,1155,1,0
